run_id,config_id,n_seg,mode,seed,self_res,exaf_res,ratio
0,0,3,modulated,0,0.0008278181805634,0.0121748429387724,14.707146115690591
1,0,3,modulated,1,0.0008955886879601,0.0122102908933942,13.633815452945834
2,0,3,modulated,2,0.000987821879536,0.0123254096128675,12.47736041102566
3,0,3,modulated,3,0.0010062373880904,0.0120418212330012,11.967177303810036
4,0,3,modulated,4,0.0008372955898602,0.0121854633304711,14.553359026416802
5,0,3,modulated,5,0.0007447083420035,0.0121971312894158,16.378400242705027
6,1,3,foil,0,0.0090409036597977,0.01909486985252,2.112053238375863
7,1,3,foil,1,0.0075714469915521,0.0183319698986646,2.4211976811194216
8,1,3,foil,2,0.0065899123272053,0.0197824535119911,3.001929696442625
9,1,3,foil,3,0.0069451994678282,0.0199674201864794,2.874995927614892
10,1,3,foil,4,0.0076875956160239,0.016666958831043,2.168032719658498
11,1,3,foil,5,0.0071754743909818,0.0180606035639846,2.516990874733429
12,2,5,modulated,0,0.0006284341905542,0.0122689988261021,19.523124315184017
13,2,5,modulated,1,0.0008632665342551,0.0122784316887558,14.223222146969588
14,2,5,modulated,2,0.0007638351237558,0.0122335762337605,16.015990693916176
15,2,5,modulated,3,0.000688726694137,0.0122222477102644,17.74615070725441
16,2,5,modulated,4,0.0009143839777535,0.012161608569902,13.300329911488795
17,2,5,modulated,5,0.0008165142769497,0.0121896063790683,14.928834342744397
18,3,5,foil,0,0.0190137170054565,0.0323244605590419,1.700060043481528
19,3,5,foil,1,0.0139730565408084,0.0291634288467799,2.087118789050049
20,3,5,foil,2,0.0174348127928739,0.034721952635259,1.9915299950596967
21,3,5,foil,3,0.0139466315306899,0.0281270799484386,2.0167651154004
22,3,5,foil,4,0.0157940221394359,0.0254077428742295,1.608693634206657
23,3,5,foil,5,0.021292937383005,0.0313946367075953,1.474415490117066
24,4,7,modulated,0,0.0005106319386199,0.0120977984552384,23.691817021737236
25,4,7,modulated,1,0.0005344698740188,0.0121815654752378,22.791865486527104
26,4,7,modulated,2,0.0005905258210868,0.0121630863972747,20.59704413075117
27,4,7,modulated,3,0.0006303988739843,0.0122382208467635,19.413456070144576
28,4,7,modulated,4,0.0007207681305748,0.0122393884431447,16.98103443250563
29,4,7,modulated,5,0.0004965045373832,0.0122987390848727,24.770647917322485
30,5,7,foil,0,0.0255367206592223,0.0362632469123702,1.4200432152698583
31,5,7,foil,1,0.0193269912888997,0.0283012776988361,1.4643395485509834
32,5,7,foil,2,0.0250593424673653,0.0356248053392306,1.4216177214396015
33,5,7,foil,3,0.0188998104658441,0.0285032625505653,1.508124253525008
34,5,7,foil,4,0.0199548210939683,0.022593883318044,1.132251860923644
35,5,7,foil,5,0.0227165744228904,0.0299777792067958,1.319643474792073
36,6,9,modulated,0,0.000736485267759,0.0122900653169271,16.687455750910274
37,6,9,modulated,1,0.0004437989752513,0.0122138469792556,27.52112478930052
38,6,9,modulated,2,0.0005547515319298,0.012057991191967,21.73584117923848
39,6,9,modulated,3,0.0004846293894457,0.0122595025379067,25.29665514492673
40,6,9,modulated,4,0.0005656536691012,0.0122525706555537,21.660905470693976
41,6,9,modulated,5,0.0005356845720324,0.0121569907503339,22.69430815266545
42,7,9,foil,0,0.0264827891135824,0.0420465921301829,1.5876950101384193
43,7,9,foil,1,0.0329298018895868,0.0473295465268478,1.4372860998539614
44,7,9,foil,2,0.0320111034012328,0.0480891750516071,1.5022654623568847
45,7,9,foil,3,0.0299323481072605,0.0450263936537793,1.5042720167636117
46,7,9,foil,4,0.0207366514741188,0.029674168880089,1.4310009944047632
47,7,9,foil,5,0.0311587460136931,0.0342652539283953,1.099699388201853
