run_id,config_id,coupling,seed,net_disp,path_len,phase_coherence,straightness
0,0,0.0,0,0.7655923984100237,1.3178186441900563,1.0,0.5809542927513853
1,0,0.0,1,0.1278651353530266,1.163535601799269,1.0,0.1098936166244492
2,0,0.0,2,0.4350516380382921,0.8135938397691749,1.0,0.5347282842772272
3,0,0.0,3,0.8365775009207427,1.1516525678601557,1.0,0.7264148270646913
4,0,0.0,4,0.5352433408469653,1.2519114035198906,1.0,0.4275409101171761
5,0,0.0,5,0.2598167741948252,0.773491694162062,1.0,0.3359011818172004
6,0,0.0,6,0.7597573496843227,1.056302801058048,1.0,0.7192609438537039
7,0,0.0,7,0.8273215593953603,1.3462634812766967,1.0,0.6145316803890348
8,0,0.0,8,0.8247210029213095,1.3197417132214406,1.0,0.6249109160217389
9,0,0.0,9,0.249283366305742,1.1950598321078567,0.9999999999999998,0.2085948833758841
10,1,0.25,0,0.7691240735401986,1.0769032373217242,0.9811742317286236,0.7141997970523541
11,1,0.25,1,0.7401787166978969,1.093937949489524,0.8899740152684326,0.676618556878198
12,1,0.25,2,0.6713969204747529,1.0057936167393975,0.9670972700848268,0.6675295103296649
13,1,0.25,3,0.5974502937795478,1.0014183791170002,0.9121600445992826,0.5966040830070936
14,1,0.25,4,0.7691654621586886,1.0838216066452442,0.9627759552313344,0.7096790259971736
15,1,0.25,5,0.6874619132415405,1.008626911963392,0.9768858251254452,0.6815819656282301
16,1,0.25,6,0.7487584799859893,1.0429688811543962,0.9999912702993704,0.7179106620681107
17,1,0.25,7,0.4342399147240748,1.029007215775778,0.7380549665959552,0.4219989015302456
18,1,0.25,8,0.7660072378923943,1.0698001126579646,0.9868236709406104,0.7160283765433678
19,1,0.25,9,0.7219343220266058,1.0927938085619555,0.8683007972240567,0.6606317828398238
20,2,0.5,0,0.7595135985206621,1.0603970472432505,0.9898615511753404,0.7162539734481485
21,2,0.5,1,0.7484510839228617,1.0702514264811247,0.9412880970148556,0.6993226688645405
22,2,0.5,2,0.7121038688688858,1.026436354944326,0.9823096205211836,0.6937632961251751
23,2,0.5,3,0.6739307753044869,1.024058132836807,0.9530366008936288,0.6580981622963038
24,2,0.5,4,0.7607491083516275,1.063927233142102,0.9799959801868244,0.7150386649140497
25,2,0.5,5,0.7200144217696519,1.0273744177985966,0.9875584132103348,0.7008296189742204
26,2,0.5,6,0.7483404571396922,1.0424811553023807,0.9999952876993652,0.7178455488940033
27,2,0.5,7,0.5945077049326408,1.038523859989103,0.8613931219961709,0.5724545461467578
28,2,0.5,8,0.7566742650180408,1.0552315063712083,0.9928991482970936,0.7170694396911407
29,2,0.5,9,0.7365345677471749,1.0678403737896045,0.9298423416004358,0.6897421991391136
30,3,1.0,0,0.754579046900914,1.0521148637736193,0.9947340444574098,0.7172021543298668
31,3,1.0,1,0.7523972380530835,1.059272834479108,0.9697319663458152,0.7102959818874907
32,3,1.0,2,0.7324857729923986,1.0363039760838135,0.9908240610890924,0.7068252075616441
33,3,1.0,3,0.7119140826629817,1.0353007254299078,0.975751016022953,0.6876398955166964
34,3,1.0,4,0.7561799496444225,1.0537992106199443,0.9896281404743976,0.7175749820495365
35,3,1.0,5,0.7362996352121887,1.036290264165891,0.9935405323070224,0.7105148631352196
36,3,1.0,6,0.7481234801930563,1.042243930300137,0.999997547564182,0.7178007551242037
37,3,1.0,7,0.6748380000069716,1.0436489182958082,0.929086347969337,0.6466139984209689
